region,recaudacion 2015,recaudacion 2016,recaudacion 2017,recaudacion 2018,recaudacion 2019,recaudacion 2020,recaudacion 2021,recaudacion 2022,recaudacion 2023,recaudacion 2024
Norte,24506.204349990003,27459.90444483,30232.044820090003,34250.25391806,41267.39092323,38927.41390881,62795.30194125,68290.59803478,75507.10049542002,79113.86216086998
Sureste,291970.27111547,320139.38594938006,350885.46269241994,390441.54488556,434653.3535095199,396136.16008145997,534140.25161684,576970.23819213,676313.9614331801,739622.82426465
Suroeste,4128.75539055,4947.3824793,5088.67623513,5937.20196638,7155.01623467,8106.07025017,10510.803247199998,11551.27126043,14467.82300898,27722.562416219997
