Estructura y Evolución de la Recaudación,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,12
,,,,,,,,,,
,,,,,,,,,,
Cuadro 1.04,, ,,,,,,,,
"COMPARATIVO RECAUDACIÓN POR AÑO, SEGÚN DOMICILIO FISCAL DEL CONTRIBUYENTE1/",,,,,,,,,,
Años 2015 - 2024; en millones de RD$,,,,,,,,,,
(En millones de RD$),,,,,,,,,,
,,,,,,,,,,
Región/Provincia,Años,,,,,,,,,
,2015,2016,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024 2/
Norte,24506204349.99,27459904444.83,30232044820.090004,34250253918.059998,41267390923.229996,38927413908.81,62795301941.25,68290598034.78001,75507100495.42001,79113862160.86998
Dajabón,116409081,117670191.96,131201657.24,159256957.29,207168176.11,190944451.08,263537377.29000002,303401641.81,365073096.69,396326197.84
Duarte,690433607.41,807940559.88,900039940.41,1095751267.33,1324987674.16,1084159765.39,2017917270.9399996,2187772319.85,2512376600.49,2811053812.05
Espaillat,782588977.48,781032324.91,1025005823.55,1111227728.79,1391309464.0,1280516308.67,2213048092.3900013,2239456699.3,2463778705.15,2738746860.37
Hermanas Mirabal,184919295.08,212821754.89,235093421.16,264508231.7,337463895.87,304953618.14,577740292.7400006,688948849.1,760497246.63,958184758.57
La Vega,1327086892.95,1458301938.48,1657856090.53,2007198501.79,2364435776.42,2110837657.71,4166117555.199999,4197394667.75,4871964027.97,5270655522.49
María Trinidad Sánchez,210800804.36,227174484.48,247094285.64,309185751.68,364529282.57,245971653.38,579063345.74,687326363.91,789022721.78,792690953.42
Monseñor Nouel,613647843.41,672365662.07,732871123.72,871755947.08,1033161491.83,955324038.08,1350210916.4599998,1643237585.33,1803186112.09,1701255239.03
Montecristi,385651192.65,650491567.98,539658822.29,383676860.09,597568117.97,624721681.18,1194404888.31,1488170189.15,1420758828.77,1284779811.5
Puerto Plata,6460916349.92,7356497899.46,8253061719.53,9107487079.33,10610283978.42,11101116450.72,16217365773.029995,17028672306.34,18227052265.41,17693305649.92
Samaná,353289715.89,350222695.12,420185974.6,564943681.62,700673712.81,429402334.57,828769987.35,1071267659.4,1222267419.24,1273381844.51
Sánchez Ramírez,206793428.21,212025147.95,227358789.09,297980754.9,375155103.53,293679108.46,556289766.8999999,705894154.11,886019186.57,918905096.27
Santiago de Los Caballeros,12406243654.37,13915222706.75,15026373172.76,17181783504.21,20605051355.54,18870378938.53,30973188178.300007,33587160551.04,37539711130.5,40776920453.29
Santiago Rodríguez,444447650.95,361731250.52,438019685.08,411132716.43,685100303.19,953909146.57,1014313009.77,1661628131.46,1769426479.57,1561811918.18
Valverde Mao,322975856.31,336406260.38,398224314.49,484364935.82,670502590.81,481498756.33,843335486.8299999,800266916.23,875966674.56,935844043.43
Sureste,291970271115.47,320139385949.38007,350885462692.4199,390441544885.56,434653353509.5199,396136160081.45996,534140251616.84,576970238192.13,676313961433.1802,739622824264.65
