Estructura y Evolución de la Recaudación,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,12
Distrito Nacional,250795044056.05,275065231848.89,302137760191.22,336275723665.61,370464627505.05,345917647296.99,460783271488.95,485048760331.97,567750130934.06,617166484805.96
El Seibo,58826423.54,69125776.3,77543628.49,105558689.84,109601817.62,88156949.47,203380049.03999996,231703888.62,269955838.3,207801171.56
Hato Mayor,99648251.66,109894788.7,134449102.9,142252638.64,160978834.54,107485532.72,183001183.08,223445703.24,309618811.02,260465580.51
La Altagracia,11167443961.6,11759672112.46,12869317455.86,15239296817.12,16839200462.04,8309135879.58,13388184810.389997,20291670762.26,26588353928.37,33380116793.76
La Romana,3048722515.28,2935504143.49,4213200895.67,4443897262.63,5400368870.7,4189276555.84,5897237456.950001,6842501962.35,8559366327.55,10484404266.46
Monte Plata,81689337.24,106561660.71,101859347.29,120519759.23,135619200.87,122635820.54,215342051.24999997,248424127.74,247986733.68,238587839.26
San Pedro de Macorís,933017157.09,1031322037.69,1313113285.13,1500268638.0,2341778454.04,1991826611.78,2713884027.5999994,3358257163.15,3457562758.13,3543934118.16
Santo Domingo,25785879413.01,29062073581.14,30038218785.86,32614027414.49,39201178364.66,35409995434.54,50755950549.58001,60725474252.8,69130986102.07,74341029688.98
Suroeste,4128755390.5499997,4947382479.3,5088676235.13,5937201966.38,7155016234.67,8106070250.17,10510803247.199997,11551271260.43,14467823008.98,27722562416.219997
Azua,136152113.94,248667638.09,156221116.28,168974513.33,206911307.66,178334014.95,271088269.88,366755668.72,412606089.14,442902899.12
Bahoruco,48505533.29,34263251.7,41995658.76,50631365.6,59369405.63,44190534.85,80985020.02,80676691.52,88743529.23,90582005.3
Barahona,196290382.63,206136935.33,203034698.4,246082682.3,318607187.66,235304263.27,419831763.18999994,406151290.74,467408302.97,525936606.02
Elías Piña,11348799.93,13623049.55,14798342.84,19270617.1,23678504.18,21650858.45,33343260.39,32125839.2,40224676.36,81164417.53
Independencia,9248349.07,12606765.97,21794947.4,15544449.28,43494347.94,24309183.89,41380652.34,44070746.13,58194971.72,55124591.74
Pedernales,25523999.62,12871563.86,9747000.65,11662723.32,14730264.84,9342249.64,34571649.23,36511772.5,47815135.73,60150284.65
Peravia,503766385.6,582758783.75,686997735.65,816051558.87,1042728549.14,882399661.83,1345479227.48,1347441491.66,3038540264.61,3819490563.87
San Cristóbal,2928791103.35,3557228586.34,3592893258.59,4190891415.63,4847964932.35,6329034523.91,7515723181.979999,8543056393.05,9456652551.13,21713728895.69
San José de Ocoa,48652658.04,53197223.99,64954868.63,72913226.33,86167753.41,54156353.81,120782952.63,118702689.58,125836906.6,120916023.12
San Juan de la Maguana,220476065.08,226028680.72,296238607.93,345179414.62,511363981.86,327348605.57,647617270.0600001,575778677.33,731800581.49,812566129.18
Total,320605230856.0099,352546672873.5101,386206183747.64014,430629000770.0,483075760667.4198,443169644240.44,607446356805.2899,656812107487.34,766288884937.5802,846459248841.7401
Notas: ,,,,,,,,,,
"1/ Para obtener dicha información se tomó el domicilio fiscal del contribuyente que realizó el pago, o la provincia donde se realizó el pago.",,,,,,,,,,
2/ El crecimiento de la provincia de San Cristóbal es impulsado por un pago extraordinario de ganancia de capital.,,,,,,,,,,
Cifras generadas el 10 de febrero de 2025.,,,,,,,,,,
"Fuente: Gerencia de Estudios Económicos y Tributarios, DGII.",,,,,,,,,,
