year,make,fuel,type,number
2015,ALFA ROMEO,Petrol,Hatchback,29
2015,ASTON MARTIN,Petrol,Hatchback,3
2015,AUDI,Petrol,Hatchback,262
2015,AUSTIN,Petrol,Hatchback,1
2015,B.M.W.,Petrol,Hatchback,408
2015,B.M.W.,Diesel,Hatchback,355
2015,B.M.W.,Others,Hatchback,30
2015,CHERY,Petrol,Hatchback,1
2015,CHEVROLET,Petrol,Hatchback,21
2015,CITROEN,Petrol,Hatchback,2
2015,CITROEN,Diesel,Hatchback,10
2015,CITROEN,Others,Hatchback,4
2015,DAIHATSU,Petrol,Hatchback,1
2015,FIAT,Petrol,Hatchback,2
2015,FORD,Petrol,Hatchback,155
2015,HONDA,Petrol,Hatchback,1068
2015,HONDA,Others,Hatchback,6
2015,HYUNDAI,Petrol,Hatchback,111
2015,KIA,Petrol,Hatchback,30
2015,MAZDA,Petrol,Hatchback,612
2015,MERCEDES BENZ,Petrol,Hatchback,1111
2015,MINI,Petrol,Hatchback,277
2015,MINI,Diesel,Hatchback,4
2015,NISSAN,Petrol,Hatchback,307
2015,OPEL,Petrol,Hatchback,28
2015,PEUGEOT,Petrol,Hatchback,121
2015,PORSCHE,Petrol,Hatchback,3
2015,RENAULT,Petrol,Hatchback,21
2015,RENAULT,Diesel,Hatchback,72
2015,SUBARU,Petrol,Hatchback,8
2015,SUZUKI,Petrol,Hatchback,256
2015,TOYOTA,Petrol,Hatchback,12
2015,TOYOTA,Others,Hatchback,159
2015,VOLKSWAGEN,Petrol,Hatchback,1353
2015,VOLVO,Petrol,Hatchback,111
2015,VOLVO,Diesel,Hatchback,192
2015,ALFA ROMEO,Petrol,Sedan,1
2015,ALPINA,Petrol,Sedan,4
2015,AUDI,Petrol,Sedan,1356
2015,B.M.W.,Petrol,Sedan,1681
2015,B.M.W.,Diesel,Sedan,16
2015,B.M.W.,Others,Sedan,1
2015,BENTLEY,Petrol,Sedan,36
2015,CHERY,Petrol,Sedan,1
2015,CHEVROLET,Petrol,Sedan,159
2015,CHRYSLER,Petrol,Sedan,1
2015,FORD,Petrol,Sedan,111
2015,HONDA,Petrol,Sedan,794
2015,HYUNDAI,Petrol,Sedan,1450
2015,HYUNDAI,Diesel,Sedan,2
2015,INFINITI,Petrol,Sedan,219
2015,INFINITI,Others,Sedan,1
2015,JAGUAR,Petrol,Sedan,311
2015,JAGUAR,Diesel,Sedan,65
2015,KIA,Petrol,Sedan,1244
2015,MASERATI,Petrol,Sedan,58
2015,MASERATI,Diesel,Sedan,7
2015,MAZDA,Petrol,Sedan,3260
2015,MERCEDES BENZ,Petrol,Sedan,3234
2015,MERCEDES BENZ,Diesel,Sedan,23
2015,MERCEDES BENZ,Others,Sedan,16
2015,MITSUBISHI,Petrol,Sedan,568
2015,MITSUOKA,Petrol,Sedan,1
2015,MORRIS,Petrol,Sedan,1
2015,NISSAN,Petrol,Sedan,2281
2015,OPEL,Petrol,Sedan,10
2015,PEUGEOT,Petrol,Sedan,21
2015,PEUGEOT,Diesel,Sedan,1
2015,PORSCHE,Petrol,Sedan,36
2015,PORSCHE,Others,Sedan,1
2015,RENAULT,Petrol,Sedan,1
2015,RENAULT,Diesel,Sedan,157
2015,ROLLS ROYCE,Petrol,Sedan,11
2015,ROVER,Petrol,Sedan,1
2015,SUBARU,Petrol,Sedan,141
2015,SUZUKI,Petrol,Sedan,1
2015,THE LONDON TAXI CO,Diesel,Sedan,1
2015,TOYOTA,Petrol,Sedan,6485
2015,TOYOTA,Others,Sedan,272
2015,VOLKSWAGEN,Petrol,Sedan,1202
2015,VOLVO,Petrol,Sedan,249
2015,VOLVO,Diesel,Sedan,314
2015,ALPINA,Petrol,Multi-purpose Vehicle/Station-wagon,2
2015,AUDI,Petrol,Multi-purpose Vehicle/Station-wagon,19
2015,AUDI,Diesel,Multi-purpose Vehicle/Station-wagon,1
2015,B.M.W.,Petrol,Multi-purpose Vehicle/Station-wagon,7
2015,B.M.W.,Diesel,Multi-purpose Vehicle/Station-wagon,271
2015,CHEVROLET,Petrol,Multi-purpose Vehicle/Station-wagon,157
2015,CHRYSLER,Diesel,Multi-purpose Vehicle/Station-wagon,4
2015,CITROEN,Petrol,Multi-purpose Vehicle/Station-wagon,108
2015,CITROEN,Diesel,Multi-purpose Vehicle/Station-wagon,463
2015,FORD,Petrol,Multi-purpose Vehicle/Station-wagon,27
2015,HONDA,Petrol,Multi-purpose Vehicle/Station-wagon,1459
2015,HONDA,Others,Multi-purpose Vehicle/Station-wagon,2
2015,HYUNDAI,Petrol,Multi-purpose Vehicle/Station-wagon,6
2015,HYUNDAI,Diesel,Multi-purpose Vehicle/Station-wagon,3
2015,JEEP,Petrol,Multi-purpose Vehicle/Station-wagon,7
2015,JEEP,Diesel,Multi-purpose Vehicle/Station-wagon,3
2015,KIA,Petrol,Multi-purpose Vehicle/Station-wagon,82
2015,MAZDA,Petrol,Multi-purpose Vehicle/Station-wagon,1116
2015,MERCEDES BENZ,Petrol,Multi-purpose Vehicle/Station-wagon,61
2015,MERCEDES BENZ,Diesel,Multi-purpose Vehicle/Station-wagon,12
2015,NISSAN,Petrol,Multi-purpose Vehicle/Station-wagon,103
2015,NISSAN,Others,Multi-purpose Vehicle/Station-wagon,21
2015,OPEL,Petrol,Multi-purpose Vehicle/Station-wagon,25
2015,PEUGEOT,Petrol,Multi-purpose Vehicle/Station-wagon,139
2015,PEUGEOT,Diesel,Multi-purpose Vehicle/Station-wagon,133
2015,RENAULT,Petrol,Multi-purpose Vehicle/Station-wagon,4
2015,RENAULT,Diesel,Multi-purpose Vehicle/Station-wagon,60
2015,SSANGYONG,Diesel,Multi-purpose Vehicle/Station-wagon,20
2015,SUBARU,Petrol,Multi-purpose Vehicle/Station-wagon,110
2015,TOYOTA,Petrol,Multi-purpose Vehicle/Station-wagon,2910
2015,TOYOTA,Others,Multi-purpose Vehicle/Station-wagon,35
2015,VOLKSWAGEN,Petrol,Multi-purpose Vehicle/Station-wagon,141
2015,VOLKSWAGEN,Diesel,Multi-purpose Vehicle/Station-wagon,219
2015,VOLVO,Petrol,Multi-purpose Vehicle/Station-wagon,9
2015,VOLVO,Diesel,Multi-purpose Vehicle/Station-wagon,36
2015,ALPINA,Diesel,Sports Utility Vehicle,3
2015,AUDI,Petrol,Sports Utility Vehicle,386
2015,B.M.W.,Petrol,Sports Utility Vehicle,485
2015,B.M.W.,Diesel,Sports Utility Vehicle,26
2015,CHERY,Petrol,Sports Utility Vehicle,3
2015,CHEVROLET,Petrol,Sports Utility Vehicle,22
2015,CITROEN,Petrol,Sports Utility Vehicle,99
2015,FORD,Petrol,Sports Utility Vehicle,29
2015,HONDA,Petrol,Sports Utility Vehicle,4536
2015,HONDA,Others,Sports Utility Vehicle,51
2015,HYUNDAI,Petrol,Sports Utility Vehicle,191
