year,make,fuel,type,number
2015,HYUNDAI,Diesel,Sports Utility Vehicle,1
2015,INFINITI,Petrol,Sports Utility Vehicle,2
2015,JEEP,Petrol,Sports Utility Vehicle,19
2015,KIA,Petrol,Sports Utility Vehicle,203
2015,KIA,Diesel,Sports Utility Vehicle,24
2015,LAND ROVER,Petrol,Sports Utility Vehicle,299
2015,LAND ROVER,Diesel,Sports Utility Vehicle,50
2015,MAZDA,Petrol,Sports Utility Vehicle,278
2015,MAZDA,Diesel,Sports Utility Vehicle,3
2015,MERCEDES BENZ,Petrol,Sports Utility Vehicle,170
2015,MERCEDES BENZ,Diesel,Sports Utility Vehicle,13
2015,MITSUBISHI,Petrol,Sports Utility Vehicle,809
2015,MITSUBISHI,Diesel,Sports Utility Vehicle,1
2015,MITSUBISHI,Others,Sports Utility Vehicle,1
2015,NISSAN,Petrol,Sports Utility Vehicle,2862
2015,PEUGEOT,Diesel,Sports Utility Vehicle,110
2015,PORSCHE,Petrol,Sports Utility Vehicle,392
2015,PORSCHE,Diesel,Sports Utility Vehicle,42
2015,PORSCHE,Others,Sports Utility Vehicle,2
2015,RANGE ROVER,Petrol,Sports Utility Vehicle,1
2015,SSANGYONG,Petrol,Sports Utility Vehicle,43
2015,SSANGYONG,Diesel,Sports Utility Vehicle,10
2015,SUBARU,Petrol,Sports Utility Vehicle,1400
2015,TOYO ACE,Petrol,Sports Utility Vehicle,1
2015,TOYOTA,Petrol,Sports Utility Vehicle,2156
2015,TOYOTA,Diesel,Sports Utility Vehicle,1
2015,TOYOTA,Others,Sports Utility Vehicle,105
2015,VOLKSWAGEN,Petrol,Sports Utility Vehicle,118
2015,VOLKSWAGEN,Diesel,Sports Utility Vehicle,19
2015,VOLVO,Petrol,Sports Utility Vehicle,320
2015,VOLVO,Diesel,Sports Utility Vehicle,43
2015,ALFA ROMEO,Petrol,Coupe/ Convertible,1
2015,ASTON MARTIN,Petrol,Coupe/ Convertible,2
2015,AUDI,Petrol,Coupe/ Convertible,69
2015,AUSTIN,Petrol,Coupe/ Convertible,1
2015,B.M.W.,Petrol,Coupe/ Convertible,291
2015,B.M.W.,Others,Coupe/ Convertible,27
2015,BENTLEY,Petrol,Coupe/ Convertible,30
2015,CHEVROLET,Petrol,Coupe/ Convertible,2
2015,DAIHATSU,Petrol,Coupe/ Convertible,2
2015,DAIMLER,Petrol,Coupe/ Convertible,1
2015,FERRARI,Petrol,Coupe/ Convertible,41
2015,FIAT,Petrol,Coupe/ Convertible,1
2015,FORD,Petrol,Coupe/ Convertible,1
2015,HYUNDAI,Petrol,Coupe/ Convertible,41
2015,JAGUAR,Petrol,Coupe/ Convertible,9
2015,KIA,Petrol,Coupe/ Convertible,3
2015,LAMBORGHINI,Petrol,Coupe/ Convertible,20
2015,M.G.,Petrol,Coupe/ Convertible,1
2015,MASERATI,Petrol,Coupe/ Convertible,10
2015,MAZDA,Petrol,Coupe/ Convertible,18
2015,Mclaren,Petrol,Coupe/ Convertible,4
2015,MERCEDES BENZ,Petrol,Coupe/ Convertible,768
2015,MINI,Petrol,Coupe/ Convertible,14
2015,MITSUOKA,Petrol,Coupe/ Convertible,2
2015,PORSCHE,Petrol,Coupe/ Convertible,113
2015,RENAULT,Petrol,Coupe/ Convertible,1
2015,ROLLS ROYCE,Petrol,Coupe/ Convertible,9
2015,RUF,Petrol,Coupe/ Convertible,1
2015,SUBARU,Petrol,Coupe/ Convertible,9
2015,TOYOTA,Petrol,Coupe/ Convertible,36
2015,TRIUMPH,Petrol,Coupe/ Convertible,1
2015,VOLKSWAGEN,Petrol,Coupe/ Convertible,4
2016,ALFA ROMEO,Petrol,Hatchback,39
2016,ASTON MARTIN,Petrol,Hatchback,2
2016,AUDI,Petrol,Hatchback,274
2016,B.M.W.,Petrol,Hatchback,59
2016,B.M.W.,Diesel,Hatchback,949
2016,B.M.W.,Others,Hatchback,6
2016,BYD,Others,Hatchback,7
2016,CHERY,Petrol,Hatchback,6
2016,CHEVROLET,Petrol,Hatchback,5
2016,CITROEN,Petrol,Hatchback,57
2016,CITROEN,Diesel,Hatchback,41
2016,FIAT,Petrol,Hatchback,1
2016,FORD,Petrol,Hatchback,149
2016,HONDA,Petrol,Hatchback,1844
2016,HYUNDAI,Petrol,Hatchback,60
2016,INFINITI,Petrol,Hatchback,6
2016,INFINITI,Diesel,Hatchback,47
2016,KIA,Petrol,Hatchback,5
2016,MAZDA,Petrol,Hatchback,539
2016,MERCEDES BENZ,Petrol,Hatchback,1092
2016,MERCEDES BENZ,Diesel,Hatchback,1
2016,MINI,Petrol,Hatchback,300
2016,MINI,Diesel,Hatchback,15
2016,NISSAN,Petrol,Hatchback,979
2016,NISSAN,Others,Hatchback,1
2016,OPEL,Petrol,Hatchback,147
2016,PERODUA,Petrol,Hatchback,18
2016,PEUGEOT,Petrol,Hatchback,117
2016,PORSCHE,Petrol,Hatchback,1
2016,RENAULT,Diesel,Hatchback,47
2016,SEAT,Petrol,Hatchback,11
2016,SEAT,Diesel,Hatchback,1
2016,SUBARU,Petrol,Hatchback,2
2016,SUZUKI,Petrol,Hatchback,451
2016,TESLA,Others,Hatchback,3
2016,TOYOTA,Petrol,Hatchback,2
2016,TOYOTA,Others,Hatchback,1009
2016,VOLKSWAGEN,Petrol,Hatchback,1277
2016,VOLKSWAGEN,Diesel,Hatchback,1
2016,VOLVO,Petrol,Hatchback,330
2016,ALPINA,Petrol,Sedan,5
2016,AUDI,Petrol,Sedan,1595
2016,B.M.W.,Petrol,Sedan,1499
2016,B.M.W.,Diesel,Sedan,7
2016,BENTLEY,Petrol,Sedan,17
2016,CHEVROLET,Petrol,Sedan,278
2016,CHRYSLER,Petrol,Sedan,2
2016,DAIMLER,Petrol,Sedan,1
2016,FORD,Petrol,Sedan,74
2016,HONDA,Petrol,Sedan,1788
2016,HONDA,Others,Sedan,128
2016,HYUNDAI,Petrol,Sedan,2111
2016,INFINITI,Petrol,Sedan,270
2016,JAGUAR,Petrol,Sedan,288
2016,JAGUAR,Diesel,Sedan,180
2016,KIA,Petrol,Sedan,1786
2016,MASERATI,Petrol,Sedan,46
2016,MASERATI,Diesel,Sedan,9
2016,MAZDA,Petrol,Sedan,4904
2016,MERCEDES BENZ,Petrol,Sedan,3243
2016,MERCEDES BENZ,Diesel,Sedan,100
2016,MERCEDES BENZ,Others,Sedan,3
2016,MINI,Petrol,Sedan,1
2016,MITSUBISHI,Petrol,Sedan,2747
2016,NISSAN,Petrol,Sedan,1448
2016,NISSAN,Others,Sedan,1
2016,OPEL,Petrol,Sedan,23
2016,OPEL,Diesel,Sedan,5
2016,PEUGEOT,Petrol,Sedan,21
2016,PEUGEOT,Diesel,Sedan,54
2016,PORSCHE,Petrol,Sedan,27
2016,RENAULT,Diesel,Sedan,159
2016,ROLLS ROYCE,Petrol,Sedan,9
2016,SKODA,Petrol,Sedan,1
2016,SUBARU,Petrol,Sedan,91
2016,SUZUKI,Petrol,Sedan,41
2016,TOYOTA,Petrol,Sedan,7458
2016,TOYOTA,Others,Sedan,378
2016,VOLKSWAGEN,Petrol,Sedan,911
2016,VOLVO,Petrol,Sedan,728
2016,VOLVO,Diesel,Sedan,51
2016,AUDI,Petrol,Multi-purpose Vehicle/Station-wagon,26
2016,B.M.W.,Petrol,Multi-purpose Vehicle/Station-wagon,8
2016,B.M.W.,Diesel,Multi-purpose Vehicle/Station-wagon,800
2016,CHEVROLET,Petrol,Multi-purpose Vehicle/Station-wagon,328
2016,CHRYSLER,Diesel,Multi-purpose Vehicle/Station-wagon,8
2016,CITROEN,Petrol,Multi-purpose Vehicle/Station-wagon,24
2016,CITROEN,Diesel,Multi-purpose Vehicle/Station-wagon,657
2016,FORD,Petrol,Multi-purpose Vehicle/Station-wagon,54
2016,HONDA,Petrol,Multi-purpose Vehicle/Station-wagon,3276
2016,HONDA,Others,Multi-purpose Vehicle/Station-wagon,649
2016,HYUNDAI,Petrol,Multi-purpose Vehicle/Station-wagon,4
2016,HYUNDAI,Diesel,Multi-purpose Vehicle/Station-wagon,1
2016,JEEP,Petrol,Multi-purpose Vehicle/Station-wagon,4
2016,KIA,Petrol,Multi-purpose Vehicle/Station-wagon,52
2016,KIA,Diesel,Multi-purpose Vehicle/Station-wagon,273
2016,KIA,Others,Multi-purpose Vehicle/Station-wagon,1
2016,LAND ROVER,Petrol,Multi-purpose Vehicle/Station-wagon,1
2016,LAND ROVER,Diesel,Multi-purpose Vehicle/Station-wagon,1
2016,MAZDA,Petrol,Multi-purpose Vehicle/Station-wagon,1291
2016,MERCEDES BENZ,Petrol,Multi-purpose Vehicle/Station-wagon,277
2016,MERCEDES BENZ,Diesel,Multi-purpose Vehicle/Station-wagon,23
2016,MINI,Petrol,Multi-purpose Vehicle/Station-wagon,40
2016,NISSAN,Petrol,Multi-purpose Vehicle/Station-wagon,65
2016,NISSAN,Others,Multi-purpose Vehicle/Station-wagon,50
2016,OPEL,Petrol,Multi-purpose Vehicle/Station-wagon,62
2016,PEUGEOT,Petrol,Multi-purpose Vehicle/Station-wagon,159
2016,PEUGEOT,Diesel,Multi-purpose Vehicle/Station-wagon,123
2016,RENAULT,Petrol,Multi-purpose Vehicle/Station-wagon,3
2016,RENAULT,Diesel,Multi-purpose Vehicle/Station-wagon,60
2016,SEAT,Diesel,Multi-purpose Vehicle/Station-wagon,2
2016,SKODA,Diesel,Multi-purpose Vehicle/Station-wagon,1
2016,SSANGYONG,Diesel,Multi-purpose Vehicle/Station-wagon,36
2016,SUBARU,Petrol,Multi-purpose Vehicle/Station-wagon,341
2016,SUZUKI,Petrol,Multi-purpose Vehicle/Station-wagon,4
2016,TOYOTA,Petrol,Multi-purpose Vehicle/Station-wagon,6254
2016,TOYOTA,Others,Multi-purpose Vehicle/Station-wagon,179
2016,VOLKSWAGEN,Petrol,Multi-purpose Vehicle/Station-wagon,337
2016,VOLKSWAGEN,Diesel,Multi-purpose Vehicle/Station-wagon,1
2016,VOLVO,Petrol,Multi-purpose Vehicle/Station-wagon,50
2016,ALPINA,Diesel,Sports Utility Vehicle,1
2016,AUDI,Petrol,Sports Utility Vehicle,409
2016,B.M.W.,Petrol,Sports Utility Vehicle,874
2016,B.M.W.,Diesel,Sports Utility Vehicle,13
2016,BENTLEY,Petrol,Sports Utility Vehicle,11
2016,CHERY,Petrol,Sports Utility Vehicle,4
2016,CHEVROLET,Petrol,Sports Utility Vehicle,11
2016,CITROEN,Petrol,Sports Utility Vehicle,35
2016,FORD,Petrol,Sports Utility Vehicle,25
2016,HONDA,Petrol,Sports Utility Vehicle,10109
2016,HONDA,Others,Sports Utility Vehicle,1554
2016,HYUNDAI,Petrol,Sports Utility Vehicle,355
2016,HYUNDAI,Diesel,Sports Utility Vehicle,21
2016,INFINITI,Petrol,Sports Utility Vehicle,5
2016,JAGUAR,Petrol,Sports Utility Vehicle,39
2016,JAGUAR,Diesel,Sports Utility Vehicle,36
2016,JEEP,Petrol,Sports Utility Vehicle,5
2016,KIA,Petrol,Sports Utility Vehicle,66
2016,KIA,Diesel,Sports Utility Vehicle,174
2016,LAND ROVER,Petrol,Sports Utility Vehicle,311
2016,LAND ROVER,Diesel,Sports Utility Vehicle,71
2016,MASERATI,Petrol,Sports Utility Vehicle,1
2016,MAZDA,Petrol,Sports Utility Vehicle,302
2016,MAZDA,Diesel,Sports Utility Vehicle,7
2016,MERCEDES BENZ,Petrol,Sports Utility Vehicle,871
2016,MERCEDES BENZ,Diesel,Sports Utility Vehicle,20
2016,MITSUBISHI,Petrol,Sports Utility Vehicle,883
2016,MITSUBISHI,Others,Sports Utility Vehicle,2
2016,NISSAN,Petrol,Sports Utility Vehicle,4481
2016,OPEL,Diesel,Sports Utility Vehicle,4
2016,PEUGEOT,Petrol,Sports Utility Vehicle,20
2016,PEUGEOT,Diesel,Sports Utility Vehicle,114
2016,PORSCHE,Petrol,Sports Utility Vehicle,372
2016,PORSCHE,Diesel,Sports Utility Vehicle,48
2016,RENAULT,Diesel,Sports Utility Vehicle,191
2016,SSANGYONG,Petrol,Sports Utility Vehicle,175
2016,SSANGYONG,Diesel,Sports Utility Vehicle,68
2016,SUBARU,Petrol,Sports Utility Vehicle,2460
2016,TOYOTA,Petrol,Sports Utility Vehicle,3156
2016,TOYOTA,Diesel,Sports Utility Vehicle,6
2016,TOYOTA,Others,Sports Utility Vehicle,28
2016,VOLKSWAGEN,Petrol,Sports Utility Vehicle,246
2016,VOLKSWAGEN,Diesel,Sports Utility Vehicle,4
2016,VOLVO,Petrol,Sports Utility Vehicle,320
2016,VOLVO,Diesel,Sports Utility Vehicle,4
2016,ALPINA,Petrol,Coupe/ Convertible,6
2016,ASTON MARTIN,Petrol,Coupe/ Convertible,12
2016,AUDI,Petrol,Coupe/ Convertible,56
2016,B.M.W.,Petrol,Coupe/ Convertible,358
2016,B.M.W.,Others,Coupe/ Convertible,9
2016,BENTLEY,Petrol,Coupe/ Convertible,25
2016,CHEVROLET,Petrol,Coupe/ Convertible,1
2016,DAIHATSU,Petrol,Coupe/ Convertible,1
2016,FERRARI,Petrol,Coupe/ Convertible,37
2016,FORD,Petrol,Coupe/ Convertible,35
2016,HONDA,Petrol,Coupe/ Convertible,1
2016,HYUNDAI,Petrol,Coupe/ Convertible,35
2016,JAGUAR,Petrol,Coupe/ Convertible,12
2016,KOENIGSEGG,Petrol,Coupe/ Convertible,1
2016,LAMBORGHINI,Petrol,Coupe/ Convertible,15
2016,LAND ROVER,Petrol,Coupe/ Convertible,4
2016,LOTUS,Petrol,Coupe/ Convertible,1
2016,M.G.,Petrol,Coupe/ Convertible,4
2016,MASERATI,Petrol,Coupe/ Convertible,7
2016,MAZDA,Petrol,Coupe/ Convertible,48
2016,Mclaren,Petrol,Coupe/ Convertible,5
2016,MERCEDES BENZ,Petrol,Coupe/ Convertible,814
2016,MINI,Petrol,Coupe/ Convertible,27
2016,NISSAN,Petrol,Coupe/ Convertible,3
2016,PORSCHE,Petrol,Coupe/ Convertible,115
2016,RENAULT,Petrol,Coupe/ Convertible,2
2016,ROLLS ROYCE,Petrol,Coupe/ Convertible,10
2016,SUBARU,Petrol,Coupe/ Convertible,8
2016,TOYOTA,Petrol,Coupe/ Convertible,21
2016,TRIUMPH,Petrol,Coupe/ Convertible,1
2016,VOLKSWAGEN,Petrol,Coupe/ Convertible,2
2016,VOLVO,Petrol,Coupe/ Convertible,2
2017,ALFA ROMEO,Petrol,Hatchback,10
2017,ASTON MARTIN,Petrol,Hatchback,6
2017,AUDI,Petrol,Hatchback,398
2017,B.M.W.,Petrol,Hatchback,45
2017,B.M.W.,Diesel,Hatchback,1069
2017,B.M.W.,Others,Hatchback,15
2017,BLUECAR,Others,Hatchback,235
2017,BYD,Others,Hatchback,63
2017,CHERY,Petrol,Hatchback,4
2017,CITROEN,Petrol,Hatchback,80
2017,CITROEN,Diesel,Hatchback,100
2017,FIAT,Petrol,Hatchback,1
2017,FORD,Petrol,Hatchback,129
2017,FORD,Others,Hatchback,1
2017,HONDA,Petrol,Hatchback,1113
2017,HONDA,Others,Hatchback,7
2017,HYUNDAI,Petrol,Hatchback,23
2017,HYUNDAI,Others,Hatchback,202
2017,INFINITI,Petrol,Hatchback,12
2017,INFINITI,Diesel,Hatchback,99
2017,KIA,Petrol,Hatchback,4
2017,MAZDA,Petrol,Hatchback,655
2017,MAZDA,Diesel,Hatchback,2
2017,MERCEDES BENZ,Petrol,Hatchback,905
2017,MERCEDES BENZ,Diesel,Hatchback,17
2017,MINI,Petrol,Hatchback,323
2017,MINI,Diesel,Hatchback,3
2017,MITSUBISHI,Petrol,Hatchback,137
2017,NISSAN,Petrol,Hatchback,1077
2017,NISSAN,Others,Hatchback,8
2017,OPEL,Petrol,Hatchback,365
2017,PERODUA,Petrol,Hatchback,18
2017,PEUGEOT,Petrol,Hatchback,124
2017,RENAULT,Petrol,Hatchback,35
2017,RENAULT,Diesel,Hatchback,59
2017,SEAT,Petrol,Hatchback,127
2017,SKODA,Diesel,Hatchback,1
2017,SUBARU,Petrol,Hatchback,217
2017,SUZUKI,Petrol,Hatchback,441
2017,SUZUKI,Others,Hatchback,25
2017,TOYOTA,Petrol,Hatchback,20
2017,TOYOTA,Others,Hatchback,2086
2017,VOLKSWAGEN,Petrol,Hatchback,1247
2017,VOLVO,Petrol,Hatchback,325
2017,ALFA ROMEO,Petrol,Sedan,2
2017,ALPINA,Petrol,Sedan,5
2017,ALPINA,Diesel,Sedan,7
2017,ASTON MARTIN,Petrol,Sedan,1
2017,AUDI,Petrol,Sedan,1487
2017,B.M.W.,Petrol,Sedan,1635
2017,B.M.W.,Diesel,Sedan,168
2017,B.M.W.,Others,Sedan,24
2017,BENTLEY,Petrol,Sedan,33
2017,CHERY,Petrol,Sedan,2
2017,CHEVROLET,Petrol,Sedan,147
2017,DATSUN,Petrol,Sedan,1
2017,FORD,Petrol,Sedan,103
2017,HONDA,Petrol,Sedan,3088
2017,HONDA,Others,Sedan,239
2017,HYUNDAI,Petrol,Sedan,2794
2017,HYUNDAI,Diesel,Sedan,4
2017,INFINITI,Petrol,Sedan,159
2017,INFINITI,Others,Sedan,2
2017,JAGUAR,Petrol,Sedan,281
2017,JAGUAR,Diesel,Sedan,171
2017,KIA,Petrol,Sedan,2616
2017,KIA,Others,Sedan,1
2017,LANCIA,Petrol,Sedan,1
2017,MASERATI,Petrol,Sedan,78
2017,MASERATI,Diesel,Sedan,9
2017,MAZDA,Petrol,Sedan,5911
2017,MERCEDES BENZ,Petrol,Sedan,3750
2017,MERCEDES BENZ,Diesel,Sedan,223
2017,MERCEDES BENZ,Others,Sedan,12
2017,MITSUBISHI,Petrol,Sedan,2451
2017,MITSUOKA,Petrol,Sedan,1
2017,NISSAN,Petrol,Sedan,422
2017,OPEL,Petrol,Sedan,12
2017,OPEL,Diesel,Sedan,4
2017,PERODUA,Petrol,Sedan,107
2017,PEUGEOT,Petrol,Sedan,11
2017,PEUGEOT,Diesel,Sedan,34
2017,PORSCHE,Petrol,Sedan,113
2017,PORSCHE,Diesel,Sedan,1
2017,RENAULT,Petrol,Sedan,77
2017,RENAULT,Diesel,Sedan,222
2017,ROLLS ROYCE,Petrol,Sedan,14
2017,ROVER,Petrol,Sedan,1
2017,SEAT,Petrol,Sedan,1
2017,SEAT,Diesel,Sedan,37
2017,SUBARU,Petrol,Sedan,368
2017,SUZUKI,Petrol,Sedan,30
2017,TOYOTA,Petrol,Sedan,5439
2017,TOYOTA,Others,Sedan,506
2017,VOLKSWAGEN,Petrol,Sedan,437
2017,VOLVO,Petrol,Sedan,640
2017,VOLVO,Diesel,Sedan,28
2017,ALPINA,Petrol,Multi-purpose Vehicle/Station-wagon,4
2017,AUDI,Petrol,Multi-purpose Vehicle/Station-wagon,17
2017,B.M.W.,Petrol,Multi-purpose Vehicle/Station-wagon,418
2017,B.M.W.,Diesel,Multi-purpose Vehicle/Station-wagon,473
2017,B.M.W.,Others,Multi-purpose Vehicle/Station-wagon,27
2017,BENTLEY,Diesel,Multi-purpose Vehicle/Station-wagon,2
2017,CHEVROLET,Petrol,Multi-purpose Vehicle/Station-wagon,312
2017,CITROEN,Petrol,Multi-purpose Vehicle/Station-wagon,62
2017,CITROEN,Diesel,Multi-purpose Vehicle/Station-wagon,450
2017,FORD,Petrol,Multi-purpose Vehicle/Station-wagon,79
2017,HONDA,Petrol,Multi-purpose Vehicle/Station-wagon,2714
2017,HONDA,Others,Multi-purpose Vehicle/Station-wagon,1107
2017,HYUNDAI,Diesel,Multi-purpose Vehicle/Station-wagon,1
2017,JEEP,Petrol,Multi-purpose Vehicle/Station-wagon,4
2017,KIA,Diesel,Multi-purpose Vehicle/Station-wagon,348
2017,KIA,Others,Multi-purpose Vehicle/Station-wagon,527
2017,LAND ROVER,Diesel,Multi-purpose Vehicle/Station-wagon,1
2017,MAZDA,Petrol,Multi-purpose Vehicle/Station-wagon,1594
2017,MERCEDES BENZ,Petrol,Multi-purpose Vehicle/Station-wagon,185
2017,MERCEDES BENZ,Diesel,Multi-purpose Vehicle/Station-wagon,26
2017,MERCEDES BENZ,Others,Multi-purpose Vehicle/Station-wagon,2
2017,MINI,Petrol,Multi-purpose Vehicle/Station-wagon,110
2017,NISSAN,Petrol,Multi-purpose Vehicle/Station-wagon,48
2017,NISSAN,Others,Multi-purpose Vehicle/Station-wagon,2
2017,OPEL,Petrol,Multi-purpose Vehicle/Station-wagon,367
2017,PEUGEOT,Petrol,Multi-purpose Vehicle/Station-wagon,186
2017,PEUGEOT,Diesel,Multi-purpose Vehicle/Station-wagon,32
2017,RENAULT,Petrol,Multi-purpose Vehicle/Station-wagon,1
2017,RENAULT,Diesel,Multi-purpose Vehicle/Station-wagon,239
2017,SEAT,Petrol,Multi-purpose Vehicle/Station-wagon,11
2017,SEAT,Diesel,Multi-purpose Vehicle/Station-wagon,22
2017,SKODA,Petrol,Multi-purpose Vehicle/Station-wagon,2
2017,SSANGYONG,Diesel,Multi-purpose Vehicle/Station-wagon,79
